INDEX,ID-EVENTO,TITULO,PRECIO,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,DESCRIPCION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,BARRIO-INSTALACION,LATITUD,LONGITUD,TIPO
13,11851528,A Christmas Carol,12 euros por persona (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,-,2022-12-17 00:00:00.0,2022-12-17 23:59:00.0,18:00,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
16,11772251,AbeceDanza 1,5 euros (tanto niños como adultos),0,['S'],2022-10-15 00:00:00.0,2022-12-03 23:59:00.0,12:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,DanzaBaile
17,11772254,AbeceDanza 2,5 euros (tanto niños como adultos),0,['S'],2022-10-15 00:00:00.0,2022-12-03 23:59:00.0,17:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,DanzaBaile
20,11806311,Acción teatro,Gratuita con inscripción previa,0,['V'],2022-11-04 00:00:00.0,2023-02-03 23:59:00.0,11:30,-,Casa del Lector,['3'],PASEO,CHOPERA,14.0,CHOPERA,40.39343275613288,-3.6985778802913103,-
36,11735859,Al calor del cancionero,Próximamente más información,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-12-29 00:00:00.0,2023-01-01 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
37,11737449,Al compás de... Doblemol,140 euros /trimestre (más gastos de gestión). Solo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,"['M', 'X', 'J']",2022-09-21 00:00:00.0,2022-12-22 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
48,11831097,Amazing Grace. A Gospel Celebration to Aretha Franklin The Black Heritage Gospel Choir,"35 euros. Discapacidad y acompañante: 25 % descuento. Jubilados y mayores 65 años, desempleados y familias numerosas: 14 % de descuento. Amigos del FG.CCV y Artistas de cia.: solo 30 entradas por función (todos los días) 30 % de descuento.",0,"['M', 'J', 'S']",2022-12-01 00:00:00.0,2022-12-10 23:59:00.0,-,"Días 1, 3, 6 y 10 de diciembre de 2022",Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
50,11693898,Amistad,20 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-01-25 00:00:00.0,2023-03-05 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
58,11830269,Antilopez,Platea: 22 euros Preferente frontal A/B filas 1-4: 22 euros Preferente frontal A/B filas 5-11: 20 euros Preferente frontal C/D filas 1-11: 20 euros Preferente escenario: 22 euros Grada: 18 euros Silla de ruedas: 20 euros,0,-,2023-01-21 00:00:00.0,2023-01-21 23:59:00.0,20:00,"Antílopez presenta ?Mutar fama? un disco-espectáculo en el que encontraremos letras comprometidas, certeras y agitadoras, acopladas a la perfección en su variado registro de canciones, conformando una especie de «playlist del momento» con guiños musicales a diferentes estilos, países y culturas. Estos dos cancionistas de Isla Cristina que encarnan su propio logo ?antílope y pez?, vuelven a agarrarnos por la solapa y agitarnos alternando las canciones más ácidas con dramas amorosos de una belleza difícil de gestionar, sin que se escape una lágrima o una risa nerviosa. Incansables en su pulso contra lo establecido y en su cruzada contra la imbecilización global, hacen de su crítica un escudo social de su día a día como albañiles de la música. Generan un espectáculo irreverente en el que celebran tanto sus virtudes como sus ineficacias y donde señalan las vergüenzas del mundillo, los entresijos solapados de la fama. En este quinto trabajo de estudio reinciden en su eclecticismo musical, innovando además con bachata, reggae rap y electrónica flamenca, sin dejar de la mano el pop rock, la rumba canalla o su aclamada canción de autor. Tienen al algoritmo de Google tomando pastillas para los nervios. El dueño de Spotify les llamó para preguntarles por 'artistas similares' y hubo algo más que palabras. Con este disco se afianzan como grupo top del país, ejemplo de lo que es ser verdaderamente independiente, ya que sin ayuda de ninguna multinacional han pasado del más absoluto underground de bareto a obtener éxito en salas, teatros y festivales de toda España y América Latina. Dos antihéroes. Dos valientes. Dos pasotas. Dos loquitos. Dos artesanos. Dos dulces caseros haciéndose sitio entre la bollería industrial. Dos hombres, dos guitarras, dos recibos de autónomo. ¡Canción escrache! Sin duda un trabajo que no dejará a nadie indiferente y en el que demuestran por qué llevan más de una década siendo referentes para otros artistas de su generación tanto en lo musical como en la puesta en escena.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
66,11772341,Aprende qué es y cómo se maneja un robot,5 euros,0,['D'],2022-10-16 00:00:00.0,2022-12-18 23:59:00.0,17:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
67,11830292,Arcángel,Platea: 30 euros Preferente frontal: 25 euros Preferente escenario: 30 euros Grada: 20 euros Silla de ruedas: 25 euros,0,-,2023-01-24 00:00:00.0,2023-01-24 23:59:00.0,20:00,"Arcángel nos presenta un nuevo espectáculo donde podremos escuchar sus éxitos de siempre y algunos temas del que será su nuevo disco. Tras varios proyectos marcados por la inquietud de buscar nuevas vías expresivas mediante el diálogo con otros géneros musicales, en esta ocasión Arcángel se embarca en una fascinante aventura que le llevará a explorar caminos muy diferentes a los que hasta ahora ha transitado, interpretando temas especialmente compuestos para él por artistas de la talla de Juanes, Vanesa Martín, Andrés Calamaro, Vetusta Morla, Rozalen y Leiva entre otros. Cantaor profesional desde 1977, en su eco y en su modo de entender el cante flamenco conviven con naturalidad un profundo conocimiento y respeto de la raíz de lo jondo con un interés incesante por encontrar nuevos caminos de desarrollo para el arte flamenco: es en esa delicada y bella línea que separa la tradición y la vanguardia donde reside la concepción del arte del cantaor onubense. Compositor y dinamizador del género además de cantaor de enjundia, Arcángel ha recibido en numerosas ocasiones premios de crítica y público de la Bienal de Flamenco de Sevilla. En sus discos 'Arcángel', 'La calle perdía', 'Ropa vieja' o 'El Quijote de los sueños', ha colaborado con artistas como Israel Galván, Cristina Hoyos, Eva Yerbabuena, Vicente Amigo o Estrella Morente en entre otros. En 2015 publicó 'Tablao' grabado en tres tablaos emblemáticos de Madrid, Barcelona y Sevilla, una reivindicación de este espacio como lugar fundamental en la historia y el desarrollo del arte flamenco, además del escenario en el que se consiguen mayores dosis de intimidad y conexión entre el artista y su público. En Marzo de 2018 publicó 'Al Este del Cante' con el coro de Las Nuevas Voces Búlgaras por el cual fue recibió el Grammy Latino en la categoría Flamenco. En 2023 saldrá su siguiente álbum del cual podremos disfrutar un adelanto durante el concierto en el Teatro Circo Price.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
73,11772293,Arquitecturas fantásticas,5 euros,0,['S'],2022-10-22 00:00:00.0,2022-12-17 23:59:00.0,18:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
75,11768262,ARTE MADRID «LOS ARTISTAS Y SU PALABRA»,Gratuito previa descarga de invitación. Las entradas estarán disponibles para descarga en la web desde 7 días antes de cada sesión,0,"['M', 'X']",2023-01-01 00:00:00.0,2023-05-18 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
97,11768373,Ballet Nacional de Marsella. Program Childs / Carvalho/ Lasseindra/ Doherty,22 euros,0,"['J', 'V']",2023-03-30 00:00:00.0,2023-03-31 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
100,11830275,Belén Aguilera,Platea: 35 euros Preferente frontal A/B filas 1-4: 35 euros Preferente frontal A/B filas 5-11: 28 euros Preferente frontal C/D filas 1-11: 28 euros Preferente escenario: 38 euros Grada: 25 euros Silla de ruedas: 28 euros,0,-,2023-01-22 00:00:00.0,2023-01-22 23:59:00.0,19:30,"BELÉN AGUILERA PRESENTA SU ÁLBUM 'SUPERPOP' Llega su concierto, dentro del SUPERPOP TOUR, donde Belén Aguilera repasa su último álbum con el mismo nombre 'Superpop'. Además de sus anteriores trabajos, e incluyendo canciones inéditas que aún no ha publicado, viene con fuerza a un festival que está dispuesto a ponerse en pie a cantar sus temas. Junto a sus coristas y su piano, con este concierto en el Teatro Circo Price da comienzo a la última etapa de la gira, que ya lleva un año dando la vuelta al país. La artista Belén Aguilera se encuentra en su mejor momento. Cerraba 2021 siendo una de las artistas más escuchadas de España y se ha consagrado este 2022 como el fenómeno musical del año. Su talento inconmensurable y su habilidad compositiva han atraído todas las miradas y el reconocimiento de la crítica y el público. Prueba de ello es el Premio Odeón que recibió a 'Mejor Artista Revelación Pop', y su nominación en los Premios 40. Además, es la única artista española que abrió este verano los conciertos de la gira mundial de Alicia Keys en Milán y Barcelona. Tras alzarse con el Disco de Platino por el single 'La Tirita', su segundo álbum 'SUPERPOP' se posicionó número uno en ventas en España. Junto a temas como 'FUCK OFF' o 'Camaleón', reúne toda una declaración de intenciones sobre un nuevo sonido y una forma de debatir con toda una generación sobre el amor, la decepción y la salud mental. Un disco brillante y repleto de éxitos, que suma más de 50 millones de escuchas, y con el que ya ha recorrido más de 30 salas y festivales españoles en 2022. ¡Superpoperos os esperamos el 22 de enero!",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
103,11854884,Belén Municipal en CentroCentro,"Acceso gratuito previa retirada de invitación en taquilla (planta 2) o reserva digital (coste de gestión 0,5 euros) Máximo 4 invitaciones por persona Reserva online disponible próximamente",0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2022-11-24 00:00:00.0,2023-01-05 23:59:00.0,-,-,CentroCentro,['1'],PLAZA,CIBELES,1.0,LOS JERONIMOS,40.419011767401095,-3.692206111679657,ProgramacionDestacadaAgendaCultura
124,11693997,Camerino,Entrada libre,1,"['M', 'X', 'J', 'V', 'S', 'D']",2022-11-18 00:00:00.0,2023-07-30 23:59:00.0,-,-,Naves Español en Matadero,['1.6'],PASEO,CHOPERA,14.0,CHOPERA,40.39241374953321,-3.697247685884226,Exposiciones
133,11830277,Carlos Núñez,Platea: 37 euros Preferente frontal A/B filas 1-4: 37 euros Preferente frontal A/B filas 5-11: 32 euros Preferente frontal C/D filas 1-11: 32 euros Preferente escenario: 37 euros Grada: 24 euros Silla de ruedas: 32 euros,0,-,2023-01-14 00:00:00.0,2023-01-14 23:59:00.0,20:00,"Carlos Núñez ha vendido más de 1 millón de discos y ha llevado la gaita a los tres grandes templos de la música: Musikverein de Viena, Royal Albert Hall de Londres y Carnegie Hall de NuevaYork. ¿Queremos referencias internacionales? La BBC lo considera 'uno de los músicos más excitantes y serios del mundo'. Le Monde ha publicado su foto en portada encabezando una gran noche celta ante 80.000 personas en el Stade de France. The Times le ha concedido críticas de 5 estrellas y en EE.UU. y los medios lo comparan de forma recurrente con Hendrix y Coltrane... Ha colaborado con artistas de todos los géneros: desde Serrat a su 'paisano' Julio Iglesias, de Ry Cooder o Jordi Savall a Carlinhos Brown, pasando por Luz Casal, Montserrat Caballé, Amenábar, Saura o Ryuichi Sakamoto, hasta sus mentores y maestros The Chieftains a los que rendirá homenaje en este concierto. Si nos remontamos a sus inicios, Carlos Núñez decidió aprender, a los ocho años, de los viejos maestros los secretos de la música popular y de la gaita y a los 12 ya fue invitado a tocar como solista con la Orquesta Sinfónica de Lorient una composición del irlandés Shaun Davey. Cuando en 1996 publicó A irmandade das estrelas, su primer álbum en solitario, Carlos Núñez ya era un artista reconocido en todo el mundo. El disco vendió más de 100.000 ejemplares en España y significó la mayoría de edad de la world music en nuestro país. Después vinieron los siguientes álbumes: Os amores libres, Mayo longo, Todos os Mundos, Alma de Fisterra, Cinema do mar, Alborada do Brasil? Carlos Núñez se ha convertido en uno de los grandes de la música popular mundial por su capacidad para traspasar fronteras, reunir músicos de diferentes países y estilos y crear una música personal, enraizada y pluricultural. Es ya un imprescindible que no ha fallado en siete ediciones de Inverfest y a quien acogemos con todo el cariño y ovación del público. El Teatro Circo Price será partícipe de este nuevo homenaje a la vida y a la música. ¡No puedes perder esta oportunidad de verle!",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
135,11693880,Carnación,25 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-12-03 00:00:00.0,2022-12-10 23:59:00.0,19:00,-,Naves Español en Matadero,['1.6'],PASEO,CHOPERA,14.0,CHOPERA,40.39241374953321,-3.697247685884226,DanzaBaile
142,11768391,Celso Giménez. Las niñas zombi,14 euros,0,"['L', 'M', 'X', 'J', 'V', 'S', 'D']",2023-06-01 00:00:00.0,2023-06-11 23:59:00.0,-,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
147,11830284,Christina Rosenvinge,Platea: 28 euros Preferente: frontal: 24 euros Preferente escenario: 28 euros Grada: 22 euros Silla de ruedas: 24 euros,0,-,2023-01-25 00:00:00.0,2023-01-25 23:59:00.0,20:00,"Treinta años después, Rosenvinge recupera el disco con el que irrumpió en el universo hispanoparlante, una oportunidad única para revivir 'Tu por mí', 'Voy en tu coche', 'Alguien que cuide de mí' o '1000 pedazos', canciones que representan a toda una generación, y a los que las descubrieron después. Cristina Rosenvinge celebra 30 años de su disco 'Que me parta un rayo' En la historia de la música hay discos que se presentan como imprescindibles para entender mucho más que el universo de sus canciones. Que me parta un rayo (1992) marcó un antes y un después en el panorama nacional e internacional. A través de diez canciones, hoy convertidas en himnos transgeneracionales, Christina Rosenvinge conectó con las mentes y corazones de un público huérfano de referentes femeninos ante la atenta mirada de un sistema cultural eminentemente masculino. Acompañada por Los Subterráneos, un proyecto de banda abierta, la artista madrileña recorrió escenarios de las principales ciudades latinoamericanas y españolas dejando una huella imborrable en su público, una huella que animó a mujeres de todo el mundo a armarse de una guitarra, ponerse al frente de una banda de rock, y clamar a los cuatro vientos su propia experiencia. Desde entonces hasta hoy, Christina no ha parado quieta. En su historial figuran más de diez discos de estudio, que incluyen el Premio Nacional de las Músicas Actuales por 'Un hombre Rubio' (2018); el libro 'Debut' en el que recopila 26 años de letras, textos y un ensayo donde conecta música y literatura; el papel principal y la composición de la banda sonora de 'Karen', la película que cuenta la historia de Karen Blixen y, también como protagonista y compositora de la música, su labor en SAFO, la obra de teatro que está actualmente en cartelera con excelentes críticas.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
178,11808900,Circo Price en Navidad,A la venta el 20 de octubre,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-11-25 00:00:00.0,2023-01-07 23:59:00.0,-,-,Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
180,11711262,Ciudad Adentro,Entrada gratuita,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-09-15 00:00:00.0,2022-12-18 23:59:00.0,-,-,CentroCentro,['1'],PLAZA,CIBELES,1.0,LOS JERONIMOS,40.419011767401095,-3.692206111679657,ProgramacionDestacadaAgendaCultura
181,11772266,Ciudades I (Paisajes en construcción),6 euros (tanto niños como adultos),0,-,2022-12-17 00:00:00.0,2022-12-17 23:59:00.0,12:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,DanzaBaile
184,11772269,Ciudades II (Arquitecturas en movimiento),6 euros (tanto niños como adultos),0,-,2022-12-17 00:00:00.0,2022-12-17 23:59:00.0,17:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,DanzaBaile
201,11830286,Club del Rio,Platea: 28 euros Preferente: frontal: 25 euros Preferente escenario: 28 euros Grada: 22 euros Silla de ruedas: 25 euros,0,-,2023-01-15 00:00:00.0,2023-01-15 23:59:00.0,19:00,"Club del Río llega al final de una gira cargada de magia y alegría. Sus canciones son una ventana abierta, un lugar maravilloso donde se reúnen seis músicos de Madrid yen un espacio en el cual la música fluye sin ataduras. Club del Río es un grupo de amigos (Esteban de Bergia, Alvaro Ayuso, Juan Feo, Juan Serra, Álvaro Baños y Adriano Pezzi) que, con el paso de los años y después de varios periodos musicales y experimentación, ha profesionalizado su banda. 'Lejos contigo'(2021) es su cuarto albúm, que viene procedidos por 'Monzón' (2014), 'Un Sol Dentro' (2016) y 'Sustancia' (2018). Ellos se definen como 'el grupo donde nos gusta vivir, tocar y reír, pasar los días y mirar el río, en su amplitud, en su discurrir'. Para el grupo es vital que la música refleje las vivencias y la búsqueda continua de un sentido de vivir. Club del Río dibuja un folk luminoso y optimista, lleno de matices y de influencias varias que aderezan con unos juegos vocales brillantes y unos arreglos que convierten sus canciones en maravillas instantáneas. Una hermosa anomalía. En este concierto de despedida les acompañarán varios artistas que irán revelando en las semanas previas su broche final de la gira 'Contigo Lejos'",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
210,11806314,Comunicarnos mejor,Gratuita con inscripción previa,0,['J'],2022-11-03 00:00:00.0,2023-02-02 23:59:00.0,11:30,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
242,11735865,Control freak,Próximamente más información,0,"['V', 'S', 'D']",2023-01-06 00:00:00.0,2023-01-08 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
258,11693939,Coronada y el toro,20 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-03-17 00:00:00.0,2023-04-15 23:59:00.0,-,-,Naves Español en Matadero,['1.6'],PASEO,CHOPERA,14.0,CHOPERA,40.39241374953321,-3.697247685884226,TeatroPerformance
263,11851534,Creación de fanzines poéticos,10 euros (más gastos de gestión). Sólo se devolverá el importe de la matrícula en caso de que la organización cancele la actividad.,0,-,2023-01-07 00:00:00.0,2023-01-07 23:59:00.0,11:30,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
269,11768355,Cris Blanco 'Grandissima Illusione',14 euros,0,-,2023-01-27 00:00:00.0,2023-01-27 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,TeatroPerformance
271,11735862,CUARENTA? (Mensajes desde el horizonte de sucesos),Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-01-11 00:00:00.0,2023-01-15 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
275,11737436,Cuentos danzantes,30 euros las 3 sesiones (más gastos de gestión). Solo se devolverá el importe de la matrícula en caso de cancelación de la actividad.,0,"['J', 'D']",2022-10-09 00:00:00.0,2022-12-18 23:59:00.0,-,-,Matadero Madrid,['1'],PLAZA,LEGAZPI,8.0,CHOPERA,40.3910548685872,-3.695807289289216,-
281,11768379,Daniel Abreu. Dalet (DA),14 euros,0,"['V', 'S']",2023-04-28 00:00:00.0,2023-04-29 23:59:00.0,20:00,-,Centro de Cultura Contemporánea Conde Duque,['1'],CALLE,CONDE DUQUE,9.0,UNIVERSIDAD,40.42802889001877,-3.710182353581842,ProgramacionDestacadaAgendaCultura
282,11735892,Daniela Astor y la Caja Negra,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-03-09 00:00:00.0,2023-03-26 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
299,11806302,Deja la huella de tu vida. Escribe tus memorias,Gratuita con inscripción previa,0,['L'],2022-11-07 00:00:00.0,2022-11-28 23:59:00.0,-,-,Casa del Lector,['3'],PASEO,CHOPERA,14.0,CHOPERA,40.39343275613288,-3.6985778802913103,CursosTalleres
301,11735853,Del teatro y otros males? Que acechan en los corrales,Próximamente más información,0,"['M', 'X', 'J', 'V', 'S', 'D']",2022-12-15 00:00:00.0,2023-01-01 23:59:00.0,-,-,Fernán Gómez Centro Cultural de la Villa,['1.6'],PLAZA,COLON,4.0,RECOLETOS,40.42492634761077,-3.689920851966343,ProgramacionDestacadaAgendaCultura
302,11830279,Depedro,Platea: 30 euros Preferente frontal: 25 euros Preferente escenario: 30 euros Grada: 22 euros Silla de ruedas: 25 euros,0,-,2023-01-20 00:00:00.0,2023-01-20 23:59:00.0,20:00,"DEPEDRO PRESENTA 'MÁQUINA DE PIEDAD' El álbum 'Máquina de piedad' es el último proyecto musical de Depedro que acoge temas como 'Máquina de piedad' o 'Noche Oscura' (canción en la que Depedro se reencuentra con Leiva), un tema donde las voces de ambos sobrevuelan sobre el sonido de las guitarras eléctricas. DEPEDRO es el proyecto musical de Jairo Zavala, iniciado en 2008 con el disco 'Depedro' grabado con la banda estadounidense CALEXICO en Tucson (Arizona), colaboración que continua al estar presentes en todos los discos hasta ahora y se hace mutua al ser el guitarra de la banda. Desde ese momento hasta hoy el proyecto fronterizo de DEPEDRO ha volcado influencias musicales, estéticas y culturales de Latinoamérica, África, el mediterráneo o estados unidos en una carrera musical que alcanza ya siete discos largos ('Depedro' 'Nubes de papel' 'la increíble historia de un hombre bueno' 'El pasajero' y 'Todo va a salir bien' 'Érase una vez' y 'Maquina de piedad'), varios Eps y singles, así como el documental 'Casamance' sobre su viaje musical a Senegal junto a Ángel Carmona (radio3) de la realizadora Paloma Zapata. Su música le ha llevado a los cinco continentes, giras por todo el continente americano, Estados unidos, México, Argentina, centro América, Brasil, Australia, Nueva Zelanda, China, África, toda Europa, Rusia? Sus discos están publicados en mas de 30 países. Sus colaboraciones son con músicos de todo el mundo en diferentes idiomas y procedentes de muchas culturas, ese es uno de los sellos de identidad del artista.",Teatro Circo Price,['1'],RONDA,ATOCHA,35.0,PALOS DE MOGUER,40.40596423138839,-3.698601359753866,ProgramacionDestacadaAgendaCultura
321,11693847,Don Ramón María del Valle-Inclán,De 6 a 22 euros,0,"['M', 'X', 'J', 'V', 'S', 'D']",2023-03-02 00:00:00.0,2023-04-09 23:59:00.0,-,-,Teatro Español,['1.6'],CALLE,PRINCIPE,25.0,CORTES,40.41482868269558,-3.7001663599562105,TeatroPerformance
332,11772347,Ejes y manejes,5 euros,0,-,2022-11-27 00:00:00.0,2022-11-27 23:59:00.0,12:00,-,Espacio Abierto Quinta de los Molinos,['1.6'],CALLE,JUAN IGNACIO LUCA DE TENA,20.0,EL SALVADOR,40.44774002225867,-3.629287454229164,CursosTalleres
342,11806308,El arte para vivir mejor,Gratuita con inscripción previa,1,['X'],2022-11-02 00:00:00.0,2023-02-01 23:59:00.0,-,Horario Primer grupo: 10:30 horas a 12:00 horas (90 minutos) | Segundo grupo: 12:00 horas a 13:30 horas (90 minutos),Casa del Lector,['3'],PASEO,CHOPERA,14.0,CHOPERA,40.39343275613288,-3.6985778802913103,CursosTalleres
